"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude","country_code_2","Flag"
"Hungary",2016,"Czech Republic",10,"Jury","High","CZE",49.8175,15.473,"cz","https://public.flourish.studio/country-flags/svg/cz.svg"
"Hungary",2016,"Spain",10,"Jury","High","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
"Hungary",2016,"Cyprus",4,"Jury","Low","CYP",35.1264,33.4299,"cy","https://public.flourish.studio/country-flags/svg/cy.svg"
"Hungary",2016,"Russia",1,"Jury","Low","RUS",61.524,105.3188,"ru","https://public.flourish.studio/country-flags/svg/ru.svg"
"Hungary",2016,"Croatia",5,"Jury","Low","HRV",45.1,15.2,"hr","https://public.flourish.studio/country-flags/svg/hr.svg"
"Hungary",2016,"Greece",3,"Jury","Low","GRC",39.0742,21.8243,"gr","https://public.flourish.studio/country-flags/svg/gr.svg"
"Hungary",2016,"Albania",1,"Jury","Low","ALB",41.1533,20.1683,"al","https://public.flourish.studio/country-flags/svg/al.svg"
"Hungary",2016,"Ukraine",2,"Jury","Low","UKR",48.3794,31.1656,"ua","https://public.flourish.studio/country-flags/svg/ua.svg"
"Hungary",2016,"Slovenia",3,"Jury","Low","SVN",46.1512,14.9955,"si","https://public.flourish.studio/country-flags/svg/si.svg"
"Hungary",2016,"Montenegro",7,"Jury","Low","MNE",42.7087,19.3744,"me","https://public.flourish.studio/country-flags/svg/me.svg"
"Italy",2016,"San Marino",10,"Jury","High","SMR",43.9334,12.4578,"sm","https://public.flourish.studio/country-flags/svg/sm.svg"
"Italy",2016,"Ireland",6,"Jury","Low","IRL",53.4129,-8.2439,"ie","https://public.flourish.studio/country-flags/svg/ie.svg"
"Italy",2016,"Malta",8,"Jury","High","MLT",35.9375,14.3754,"mt","https://public.flourish.studio/country-flags/svg/mt.svg"
"Italy",2016,"Spain",5,"Jury","Low","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
