"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Bulgaria",2016,"Poland",3,"Jury","Low","POL",51.9194,19.1451
"Bulgaria",2016,"Slovenia",10,"Jury","High","SVN",46.1512,14.9955
"Bulgaria",2016,"Montenegro",2,"Jury","Low","MNE",42.7087,19.3744
"Sweden",2016,"Austria",8,"Jury","High","AUT",47.5162,14.5501
"Sweden",2016,"Iceland",6,"Jury","Low","ISL",64.9631,-19.0208
"Sweden",2016,"Czech Republic",12,"Jury","High","CZE",49.8175,15.473
"Sweden",2016,"Ireland",5,"Jury","Low","IRL",53.4129,-8.2439
"Sweden",2016,"Georgia",6,"Jury","Low","GEO",42.3154,43.3569
"Sweden",2016,"Finland",12,"Jury","High","FIN",61.9241,25.7482
"Sweden",2016,"Denmark",4,"Jury","Low","DNK",56.2639,9.5018
"Sweden",2016,"France",5,"Jury","Low","FRA",46.6034,2.2137
"Sweden",2016,"Moldova",6,"Jury","Low","MDA",47.4116,28.3699
"Sweden",2016,"Netherlands",10,"Jury","High","NLD",52.1326,5.2913
"Sweden",2016,"Latvia",8,"Jury","High","LVA",56.8796,24.6032
"Sweden",2016,"Belarus",8,"Jury","High","BLR",53.9006,27.5766
"Sweden",2016,"Germany",10,"Jury","High","DEU",51.1657,10.4515
"Sweden",2016,"Estonia",12,"Jury","High","EST",58.5953,25.0136
"Sweden",2016,"Ukraine",4,"Jury","Low","UKR",48.3794,31.1656
"Sweden",2016,"Italy",2,"Jury","Low","ITA",41.8719,12.5674
"Sweden",2016,"Hungary",4,"Jury","Low","HUN",47.1625,19.5033
"Germany",2016,"Georgia",1,"Jury","Low","GEO",42.3154,43.3569
"France",2016,"Austria",7,"Jury","Low","AUT",47.5162,14.5501
"France",2016,"Iceland",2,"Jury","Low","ISL",64.9631,-19.0208
"France",2016,"Czech Republic",5,"Jury","Low","CZE",49.8175,15.473
"France",2016,"Ireland",3,"Jury","Low","IRL",53.4129,-8.2439
"France",2016,"Georgia",4,"Jury","Low","GEO",42.3154,43.3569
"France",2016,"Bosnia and Herzegovina",7,"Jury","Low","BIH",43.9159,17.6791
"France",2016,"Malta",6,"Jury","Low","MLT",35.9375,14.3754
"France",2016,"Spain",7,"Jury","Low","ESP",40.4637,-3.7492
"France",2016,"Finland",1,"Jury","Low","FIN",61.9241,25.7482
"France",2016,"Armenia",12,"Jury","High","ARM",40.0691,45.0382
"France",2016,"Cyprus",7,"Jury","Low","CYP",35.1264,33.4299
"France",2016,"Netherlands",5,"Jury","Low","NLD",52.1326,5.2913
"France",2016,"Israel",8,"Jury","High","ISR",31.0461,34.8516
"France",2016,"Russia",7,"Jury","Low","RUS",61.524,105.3188
"France",2016,"Australia",6,"Jury","Low","AUS",-25.2744,133.7751
"France",2016,"Belgium",8,"Jury","High","BEL",50.5039,4.4699
"France",2016,"United Kingdom",6,"Jury","Low","GBR",55.3781,-3.436
"France",2016,"Croatia",8,"Jury","High","HRV",45.1,15.2
"France",2016,"Greece",6,"Jury","Low","GRC",39.0742,21.8243
"France",2016,"Lithuania",1,"Jury","Low","LTU",55.1694,23.8813
"France",2016,"Albania",10,"Jury","High","ALB",41.1533,20.1683
"France",2016,"Estonia",1,"Jury","Low","EST",58.5953,25.0136
"France",2016,"Italy",7,"Jury","Low","ITA",41.8719,12.5674
"France",2016,"Poland",1,"Jury","Low","POL",51.9194,19.1451
"France",2016,"Montenegro",5,"Jury","Low","MNE",42.7087,19.3744
"France",2016,"Sweden",8,"Jury","High","SWE",60.1282,18.6435
"Poland",2016,"Azerbaijan",2,"Jury","Low","AZE",40.1431,47.5769
"Poland",2016,"Norway",1,"Jury","Low","NOR",60.472,8.4689
"Poland",2016,"Lithuania",3,"Jury","Low","LTU",55.1694,23.8813
"Poland",2016,"Montenegro",1,"Jury","Low","MNE",42.7087,19.3744
"Australia",2016,"Austria",12,"Jury","High","AUT",47.5162,14.5501
"Australia",2016,"Iceland",10,"Jury","High","ISL",64.9631,-19.0208
"Australia",2016,"Azerbaijan",7,"Jury","Low","AZE",40.1431,47.5769
"Australia",2016,"Georgia",8,"Jury","High","GEO",42.3154,43.3569
"Australia",2016,"Bosnia and Herzegovina",10,"Jury","High","BIH",43.9159,17.6791
"Australia",2016,"Malta",3,"Jury","Low","MLT",35.9375,14.3754
"Australia",2016,"Spain",8,"Jury","High","ESP",40.4637,-3.7492
"Australia",2016,"Finland",8,"Jury","High","FIN",61.9241,25.7482
"Australia",2016,"Switzerland",12,"Jury","High","CHE",46.8182,8.2275
"Australia",2016,"Denmark",10,"Jury","High","DNK",56.2639,9.5018
"Australia",2016,"France",6,"Jury","Low","FRA",46.6034,2.2137
"Australia",2016,"Moldova",10,"Jury","High","MDA",47.4116,28.3699
"Australia",2016,"Armenia",5,"Jury","Low","ARM",40.0691,45.0382
"Australia",2016,"Cyprus",10,"Jury","High","CYP",35.1264,33.4299
"Australia",2016,"Bulgaria",8,"Jury","High","BGR",42.7339,25.4858
"Australia",2016,"Netherlands",12,"Jury","High","NLD",52.1326,5.2913
"Australia",2016,"Latvia",5,"Jury","Low","LVA",56.8796,24.6032
"Australia",2016,"Israel",10,"Jury","High","ISR",31.0461,34.8516
"Australia",2016,"Belarus",6,"Jury","Low","BLR",53.9006,27.5766
"Australia",2016,"Germany",6,"Jury","Low","DEU",51.1657,10.4515
